Name, Graph Creation, Number of EQC, Average Size of EQC, Average Number of Edges, TMH, Comp
AC-2013-0,1179,0,2,0,6,76
AC-2013-1,2160,0,2,0,4,56
AC-2013-2,2993,0,1,0,3,36
AC-2013-3,3991,0,2,0,2,39
null,null,0,0,0,0,0
null,null,0,0,0,0,0
AC-2013-6,4903,0,1,0,1,34
AC-2013-7,5856,0,2,0,1,44
AC-2013-8,7187,0,1,0,1,62
AC-2013-9,8188,0,0,0,0,109
AC-2013-10,9225,0,1,0,1,40
AC-2013-11,10124,0,1,0,0,25
AC-2013-12,11209,0,0,0,1,40
AC-2013-13,12248,0,1,0,0,38
AC-2013-14,13114,0,0,0,0,32
AC-2013-15,14186,0,1,0,1,34
AC-2013-16,15207,0,0,0,1,33
AC-2013-17,16226,0,0,0,1,39
AC-2013-18,17125,0,0,0,1,31
AC-2013-19,17990,0,0,0,1,30
AC-2013-20,18759,0,1,0,0,25
AC-2013-21,19596,0,1,0,1,31
AC-2013-22,20774,0,0,0,1,47
AC-2013-23,21962,0,0,0,1,47
AC-2013-24,23339,0,0,0,1,60
AC-2013-25,24432,0,0,0,1,40
AC-2013-26,25601,0,1,0,1,44
AC-2013-27,26590,0,0,0,0,34
AC-2013-28,27710,0,1,0,1,43
AC-2013-29,28743,0,0,0,0,37
AC-2013-30,29785,0,1,0,1,37
AC-2013-31,30782,0,0,0,1,43
AC-2013-32,31716,0,0,0,0,34
AC-2013-33,32605,0,1,0,1,35
AC-2013-34,33454,0,0,0,0,32
AC-2013-35,34499,0,0,0,1,45
AC-2013-36,35604,0,1,0,1,57
AC-2013-37,36693,0,0,0,1,38
AC-2013-38,37676,0,1,0,0,33
AC-2013-39,38756,0,1,0,1,35
null,null,0,0,0,0,0
AC-2013-41,39605,0,0,0,1,24
AC-2013-42,40692,0,0,0,1,35
AC-2013-43,41589,0,0,0,1,32
AC-2013-44,42523,0,0,0,1,33
AC-2013-45,43307,0,0,0,1,32
AC-2013-46,44351,0,0,0,1,42
AC-2013-47,45337,0,0,0,1,42
AC-2013-48,46379,0,0,0,1,35
AC-2013-49,47642,0,0,0,1,79
AC-2013-50,48950,0,0,0,1,50
AC-2013-51,50226,0,0,0,1,57
AC-2013-0,1572,0,1,0,6,103
AC-2013-1,2932,0,1,0,3,48
AC-2013-2,3999,0,1,0,3,31
AC-2013-3,5354,0,2,0,2,50
null,null,0,0,0,0,0
null,null,0,0,0,0,0
AC-2013-6,6448,0,1,0,1,28
AC-2013-7,7742,0,2,0,1,43
AC-2013-8,9572,0,1,0,1,63
AC-2013-9,10768,0,1,0,0,41
AC-2013-10,12236,0,0,0,0,45
AC-2013-11,13243,0,1,0,1,26
AC-2013-12,14744,0,1,0,1,44
AC-2013-13,16063,0,0,0,0,46
AC-2013-14,17228,0,1,0,1,34
AC-2013-15,18589,0,0,0,0,36
AC-2013-16,19982,0,1,0,1,34
AC-2013-17,21409,0,0,0,1,37
AC-2013-18,22492,0,0,0,0,28
AC-2013-19,23648,0,1,0,1,27
AC-2013-20,24634,0,0,0,1,21
AC-2013-21,25672,0,0,0,1,29
AC-2013-22,27204,0,0,0,0,44
null,null,0,0,0,0,0
AC-2013-24,29050,0,0,0,0,54
AC-2013-25,30571,0,0,1,1,33
AC-2013-26,32022,0,0,0,1,36
AC-2013-27,33378,0,0,0,1,27
AC-2013-28,34853,0,0,0,1,37
AC-2013-29,36191,0,0,0,0,35
AC-2013-30,37608,0,1,0,0,33
AC-2013-31,38951,0,1,0,1,29
AC-2013-32,40055,0,0,0,0,27
AC-2013-33,41380,0,0,0,0,28
AC-2013-34,42453,0,0,0,0,21
null,null,0,0,0,0,0
AC-2013-36,44188,0,0,0,0,47
AC-2013-37,46462,0,0,0,0,34
AC-2013-38,47818,0,0,1,0,28
AC-2013-39,49192,0,1,0,0,50
null,null,0,0,0,0,0
AC-2013-41,50236,0,1,0,0,25
AC-2013-42,51678,0,1,0,1,91
AC-2013-43,52970,0,0,0,1,36
AC-2013-44,54316,0,0,0,1,42
AC-2013-45,55339,0,0,0,0,27
AC-2013-46,56783,0,1,0,1,37
AC-2013-47,58118,0,0,0,1,60
AC-2013-48,59452,0,0,0,0,37
AC-2013-49,61097,0,1,0,1,57
AC-2013-50,62755,0,0,0,1,63
AC-2013-51,64606,0,1,0,1,64
