Name, Name 2nd, JaccardVertex, JaccardEdge, GED, KLD
AC-2015-0,AC-2015-1,0.9543407,0.79712737,524323.0,0.10207416
AC-2015-1,AC-2015-2,0.9564799,0.80064857,511164.0,0.08929021
AC-2015-2,AC-2015-3,0.95551217,0.80004627,518055.0,0.033412345
AC-2015-3,AC-2015-4,0.95468736,0.7992039,512227.0,0.12801409
AC-2015-4,AC-2015-5,0.9562495,0.7997505,517530.0,0.12861377
AC-2015-5,AC-2015-6,0.95601946,0.8004979,532837.0,0.12594746
AC-2015-6,AC-2015-7,0.9553608,0.85926634,540969.0,0.30532268
AC-2015-7,AC-2015-8,0.9480902,0.82417685,562566.0,0.09584607
AC-2015-8,AC-2015-9,0.9473715,0.8227547,585141.0,0.124302365
AC-2015-9,AC-2015-10,0.91365725,0.6409443,532445.0,0.10989028
AC-2015-10,AC-2015-11,0.9555876,0.8275327,537438.0,0.16627067
AC-2015-11,AC-2015-12,0.94323057,0.8167217,572266.0,0.060222697
AC-2015-12,AC-2015-13,0.94541484,0.8188813,521749.0,0.21229254
AC-2015-13,AC-2015-14,0.94652486,0.80878794,514034.0,1.6261377
AC-2015-14,AC-2015-15,0.9453536,0.8144394,511470.0,0.92735815
AC-2015-15,AC-2015-16,0.9531742,0.8333391,551529.0,0.44620275
AC-2015-16,AC-2015-17,0.94787824,0.8201177,608438.0,0.05989866
AC-2015-17,AC-2015-18,0.900455,0.5855378,586362.0,0.03904671
AC-2015-18,AC-2015-19,0.95115316,0.82582784,598013.0,0.08119412
AC-2015-19,AC-2015-20,0.9487351,0.8309258,617355.0,0.66560876
AC-2015-20,AC-2015-21,0.9454592,0.82462645,573558.0,0.677251
AC-2015-21,AC-2015-22,0.9468514,0.8112596,569784.0,0.18832462
AC-2015-22,AC-2015-23,0.94635445,0.82975423,561417.0,0.6025055
AC-2015-23,AC-2015-24,0.9459174,0.8158733,531248.0,0.51414645
AC-2015-24,AC-2015-25,0.9470518,0.8147959,558491.0,0.5060223
AC-2015-25,AC-2015-26,0.9504524,0.8263382,594800.0,0.26073444
AC-2015-26,AC-2015-27,0.9522651,0.85153484,519534.0,0.4924711
AC-2015-27,AC-2015-28,0.9601153,0.8468615,499068.0,0.38280296
AC-2015-28,AC-2015-29,0.9393504,0.8177846,514575.0,0.19570285
AC-2015-29,AC-2015-30,0.9356782,0.82172906,400641.0,0.17649408
AC-2015-30,AC-2015-31,0.95349985,0.82479644,438581.0,0.1819304
AC-2015-31,AC-2015-32,0.94195724,0.81732285,527156.0,0.19293158
AC-2015-32,AC-2015-33,0.940978,0.81042075,513679.0,0.18201752
AC-2015-33,AC-2015-34,0.9436642,0.82335246,495455.0,0.82031375
AC-2015-34,AC-2015-35,0.9543491,0.8383289,503120.0,1.0096058
AC-2015-35,AC-2015-36,0.9429357,0.8077113,533829.0,0.06029041
AC-2015-36,AC-2015-37,0.94299096,0.8160494,530214.0,0.12908599
AC-2015-37,AC-2015-38,0.9472044,0.82301307,534048.0,0.16379505
AC-2015-38,AC-2015-39,0.9445305,0.82704335,515211.0,0.1794527
AC-2015-39,AC-2015-40,0.9482553,0.81083846,504969.0,0.82210445
AC-2015-40,AC-2015-41,0.9486024,0.8122755,533302.0,0.13518125
AC-2015-41,AC-2015-42,0.947696,0.8128932,540490.0,0.12310343
AC-2015-42,AC-2015-43,0.9451941,0.8065244,549428.0,0.115397096
AC-2015-43,AC-2015-44,0.94543135,0.80550295,558996.0,0.099451184
AC-2015-44,AC-2015-45,0.94566166,0.805263,558421.0,0.102646664
AC-2015-45,AC-2015-46,0.9443547,0.80509114,544215.0,0.05992789
AC-2015-46,AC-2015-47,0.9443143,0.8026841,534218.0,0.1440245
AC-2015-47,AC-2015-48,0.94419986,0.8030566,536425.0,0.1147515
AC-2015-48,AC-2015-49,0.94634306,0.82657886,531916.0,0.19887963
AC-2015-49,AC-2015-50,0.9412153,0.8120611,508527.0,0.08741493
AC-2015-50,AC-2015-51,0.9491766,0.8200843,534989.0,0.4803793
