Name, Number of EQC, Average Size of EQC, Average Number of Edges, TMH, Comp
AC-2015-0,12889.0,148.36551,10.0196295,64582.125,1.0
AC-2015-1,12535.0,131.89565,9.598245,60167.15,1.0
AC-2015-2,12653.0,151.96404,9.69604,61352.92,1.0
AC-2015-3,12810.0,161.29742,9.649727,61816.37,1.0
AC-2015-4,12531.0,131.85165,9.562126,59921.266,1.0
AC-2015-5,12840.0,159.50537,9.832944,63137.973,1.0
AC-2015-6,13041.0,128.65892,9.755464,63620.055,1.0
AC-2015-7,16363.0,72.23633,7.85675,64286.184,1.0
AC-2015-8,16702.0,78.43659,8.154054,68100.07,1.0
AC-2015-9,17200.0,70.49628,8.106338,69720.805,1.0
AC-2015-10,13369.0,103.64193,8.3407135,55760.53,1.0
AC-2015-11,17338.0,66.710236,8.181855,70934.93,1.0
AC-2015-12,16367.0,55.87707,7.7853,63718.117,1.0
AC-2015-13,14881.0,96.15127,7.917882,58923.01,1.0
AC-2015-14,15486.0,87.554504,8.007555,62010.062,1.0
AC-2015-15,15102.0,110.796585,7.70984,58224.754,1.0
AC-2015-16,17135.0,84.74386,8.357573,71610.26,1.0
AC-2015-17,17251.0,74.541534,8.33656,71913.33,1.0
AC-2015-18,16660.0,79.44208,7.947719,66214.516,1.0
AC-2015-19,17625.0,63.866554,8.479433,74731.03,1.0
AC-2015-20,16833.0,77.98764,8.435573,71005.586,1.0
AC-2015-21,16230.0,86.53629,7.9020333,64132.617,1.0
AC-2015-22,17405.0,64.852684,8.033439,69918.305,1.0
AC-2015-23,15758.0,101.679276,7.8881836,62156.535,1.0
AC-2015-24,15905.0,97.31682,7.889846,62752.066,1.0
AC-2015-25,17194.0,80.902466,7.9798765,68608.33,1.0
AC-2015-26,18167.0,55.82347,7.8444433,71263.9,1.0
AC-2015-27,11807.0,145.53189,8.661641,51142.1,1.0
AC-2015-28,17003.0,74.49938,7.8138566,66436.664,1.0
AC-2015-29,15107.0,96.098434,7.1736283,54191.496,1.0
AC-2015-30,11413.0,62.45124,6.8944187,39351.234,1.0
AC-2015-31,16748.0,86.25006,7.5543947,63268.484,1.0
AC-2015-32,16166.0,98.34925,7.4599776,60306.87,1.0
AC-2015-33,15953.0,86.31524,7.532878,60095.38,1.0
AC-2015-34,14741.0,105.5134,7.6118307,56109.72,1.0
AC-2015-35,15688.0,84.13756,7.912927,62076.62,1.0
AC-2015-36,16017.0,86.39558,7.9242053,63469.938,1.0
AC-2015-37,15659.0,91.762245,7.813143,61180.754,1.0
AC-2015-38,16202.0,89.82656,7.946303,64383.55,1.0
AC-2015-39,14318.0,74.90781,7.9339294,56806.44,1.0
AC-2015-40,15192.0,109.99862,8.170748,62071.066,1.0
AC-2015-41,15317.0,101.27557,8.308742,63639.023,1.0
AC-2015-42,15599.0,101.03212,8.174883,63766.703,1.0
AC-2015-43,16076.0,80.03148,8.170876,65685.945,1.0
AC-2015-44,15926.0,90.12344,8.297124,66077.1,1.0
AC-2015-45,15946.0,89.78754,8.223567,65574.766,1.0
AC-2015-46,15534.0,100.30591,8.061864,62623.867,1.0
AC-2015-47,15870.0,93.8845,7.9502835,63091.547,1.0
AC-2015-48,15544.0,103.47935,8.127444,63174.707,1.0
AC-2015-49,15759.0,95.87486,7.866679,61995.1,1.0
AC-2015-50,15487.0,96.667656,7.4039516,57339.008,1.0
AC-2015-51,16797.0,67.75734,8.137525,68349.47,1.0
