Name, Number of EQC, Average Size of EQC, Average Number of Edges, TMH, Comp, Avg Degree
AC-2019-0,55256.0,138.90388,14.851328,410330.28,0,0
AC-2019-1,50987.0,141.46056,14.326809,365261.16,0,0
AC-2019-2,50207.0,144.8392,14.065867,353123.8,0,0
AC-2019-3,50428.0,128.14388,14.487586,365311.2,0,0
AC-2019-4,52569.0,134.3943,14.15454,372064.5,0,0
AC-2019-5,56387.0,187.8586,14.01988,395289.75,0,0
AC-2019-6,55388.0,188.50255,14.182097,392780.12,0,0
AC-2019-7,49025.0,130.19785,13.920632,341251.44,0,0
AC-2019-8,53735.0,179.41208,14.213567,381902.6,0,0
AC-2019-9,51704.0,198.72745,13.747563,355423.06,0,0
AC-2019-10,56152.0,180.58833,14.255147,400248.66,0,0
AC-2019-11,52424.0,191.44855,14.274435,374189.94,0,0
AC-2019-12,59937.0,178.83525,13.599062,407571.47,0,0
AC-2019-13,52999.0,189.559,14.115078,374072.8,0,0
AC-2019-14,55718.0,200.30824,14.329427,399232.7,0,0
AC-2019-15,54910.0,160.3229,14.184575,389465.5,0,0
AC-2019-16,50643.0,173.62343,14.267164,361296.78,0,0
AC-2019-17,55747.0,171.60146,14.275082,397917.12,0,0
AC-2019-18,54782.0,179.28029,13.996222,383391.94,0,0
AC-2019-19,54086.0,119.592926,14.407795,389651.25,0,0
AC-2019-20,53599.0,115.88162,14.45708,387463.75,0,0
AC-2019-21,56015.0,122.90726,13.918807,389852.12,0,0
AC-2019-22,52709.0,120.80515,13.913677,366709.1,0,0
AC-2019-23,58982.0,163.182,14.046607,414266.97,0,0
AC-2019-24,60469.0,101.69249,13.575022,410454.7,0,0
AC-2019-25,59570.0,119.61015,13.628017,405931.16,0,0
AC-2019-26,55805.0,95.82326,13.601344,379533.28,0,0
AC-2019-27,49463.0,107.897354,14.307118,353860.34,0,0
AC-2019-28,48811.0,103.70234,14.496548,353828.66,0,0
AC-2019-29,48160.0,106.6972,14.310777,344637.53,0,0
AC-2019-30,48489.0,101.829056,14.364845,348300.03,0,0
AC-2019-31,46775.0,106.5883,14.037991,328349.5,0,0
AC-2019-32,51725.0,94.051926,13.239864,342449.5,0,0
AC-2019-33,51530.0,95.60598,13.292412,342510.8,0,0
AC-2019-34,51295.0,94.97933,13.360113,342686.28,0,0
AC-2019-35,46957.0,100.72047,13.998594,328699.3,0,0
AC-2019-36,47299.0,101.268715,14.054504,332417.62,0,0
AC-2019-37,49701.0,114.79027,13.871149,344738.8,0,0
AC-2019-38,51251.0,117.28786,13.664026,350177.38,0,0
AC-2019-39,49117.0,115.31753,13.813181,339263.62,0,0
AC-2019-40,51514.0,111.81783,13.810556,355752.34,0,0
AC-2019-41,51628.0,133.26721,13.731076,354486.84,0,0
AC-2019-42,52570.0,133.67012,13.599239,357489.44,0,0
AC-2019-43,54001.0,130.45807,13.740561,371034.78,0,0
AC-2019-44,57116.0,121.8241,14.180247,404990.56,0,0
AC-2019-45,52297.0,122.978294,13.967245,365255.25,0,0
AC-2019-46,54139.0,119.6255,13.74089,371990.1,0,0
AC-2019-47,56640.0,119.21151,13.56619,384223.06,0,0
AC-2019-48,59713.0,122.56884,13.149331,392620.75,0,0
AC-2019-49,56411.0,121.61735,14.052685,396387.72,0,0
AC-2019-50,56715.0,125.11755,14.178312,402088.1,0,0
AC-2019-0,55256.0,138.90388,14.851328,410330.28,0,0
AC-2019-1,50987.0,141.46056,14.326809,365261.16,0,0
AC-2019-2,50207.0,144.8392,14.065867,353123.8,0,0
AC-2019-3,50428.0,128.14388,14.487586,365311.2,0,0
AC-2019-4,52569.0,134.3943,14.15454,372064.5,0,0
AC-2019-5,56387.0,187.8586,14.01988,395289.75,0,0
AC-2019-6,55388.0,188.50255,14.182097,392780.12,0,0
AC-2019-7,49025.0,130.19785,13.920632,341251.44,0,0
AC-2019-8,53735.0,179.41208,14.213567,381902.6,0,0
AC-2019-9,51704.0,198.72745,13.747563,355423.06,0,0
AC-2019-10,56152.0,180.58833,14.255147,400248.66,0,0
AC-2019-11,52424.0,191.44855,14.274435,374189.94,0,0
AC-2019-12,59937.0,178.83525,13.599062,407571.47,0,0
AC-2019-13,52999.0,189.559,14.115078,374072.8,0,0
