Name, Graph Creation, Number of EQC, Average Size of EQC, Average Number of Edges, TMH, Comp
AC-2019-0,59,0,1,0,6,3
AC-2019-1,82,0,1,0,0,0
AC-2019-2,91,0,2,0,0,0
AC-2019-3,1677,0,1,0,6,143
AC-2019-4,2920,0,1,0,2,58
AC-2019-5,4206,0,1,0,2,41
AC-2019-6,5318,0,1,0,2,27
AC-2019-7,6430,0,1,0,3,29
AC-2019-8,7580,0,0,0,2,28
AC-2019-9,8555,0,0,1,2,24
AC-2019-10,9672,0,1,0,1,50
AC-2019-11,10789,0,0,0,1,37
AC-2019-12,11856,0,1,0,1,28
AC-2019-13,12931,0,1,0,1,29
AC-2019-14,14083,0,1,0,1,26
AC-2019-15,15109,0,1,0,0,47
AC-2019-16,16153,0,1,0,0,25
AC-2019-17,17193,0,0,0,1,25
AC-2019-18,18145,0,0,0,0,24
AC-2019-19,19472,0,0,0,1,31
AC-2019-20,20685,0,0,0,0,30
AC-2019-21,22039,0,1,0,1,31
AC-2019-22,23210,0,1,0,1,29
AC-2019-23,24427,0,0,0,1,29
AC-2019-24,25808,0,0,0,1,37
AC-2019-25,27004,0,0,0,0,29
AC-2019-26,28376,0,1,0,0,34
AC-2019-27,29618,0,0,0,0,27
AC-2019-28,30769,0,0,0,0,32
AC-2019-29,31834,0,1,0,1,31
AC-2019-30,32980,0,0,0,1,29
AC-2019-31,34304,0,0,0,1,30
AC-2019-32,35485,0,0,0,1,32
AC-2019-33,36676,0,0,0,0,29
AC-2019-34,37908,0,1,0,1,34
AC-2019-35,39058,0,0,0,1,116
AC-2019-36,40324,0,0,0,1,28
AC-2019-37,41537,0,0,0,1,27
AC-2019-38,42912,0,0,0,0,27
AC-2019-39,44104,0,0,0,0,27
AC-2019-40,45290,0,1,0,0,26
AC-2019-41,46580,0,0,0,1,25
AC-2019-42,47699,0,0,0,0,26
AC-2019-43,48861,0,0,1,1,28
AC-2019-44,50333,0,0,0,0,31
AC-2019-45,51600,0,1,0,1,25
AC-2019-46,52889,0,0,0,1,40
AC-2019-47,54294,0,0,1,1,37
AC-2019-48,55655,0,0,0,1,39
AC-2019-49,56963,0,0,0,0,39
AC-2019-0,119,0,2,1,0,5
AC-2019-1,165,0,2,0,0,0
AC-2019-2,209,0,1,0,0,0
AC-2019-3,1301,0,2,0,5,69
AC-2019-4,2228,0,1,0,3,41
AC-2019-5,2982,0,1,0,3,28
AC-2019-6,3722,0,1,0,3,25
AC-2019-7,4579,0,1,0,1,26
AC-2019-8,5325,0,1,0,0,24
AC-2019-9,6028,0,0,0,1,23
AC-2019-10,6789,0,1,0,1,78
AC-2019-11,7543,0,1,0,0,25
AC-2019-12,8299,0,1,0,0,29
AC-2019-13,9052,0,1,0,0,29
AC-2019-14,9730,0,1,0,0,27
AC-2019-15,10426,0,1,0,0,29
AC-2019-16,11106,0,1,0,1,30
AC-2019-17,11839,0,1,0,2,36
AC-2019-18,12517,0,0,0,1,31
AC-2019-19,13401,0,0,0,1,32
AC-2019-20,14270,0,1,0,1,34
AC-2019-21,15193,0,1,0,0,36
AC-2019-22,16033,0,1,0,1,32
AC-2019-23,16809,0,1,0,1,36
AC-2019-24,17808,0,0,0,0,49
AC-2019-25,18608,0,0,0,1,23
AC-2019-26,19567,0,0,0,0,37
AC-2019-27,20383,0,0,0,1,27
AC-2019-28,21309,0,0,0,0,31
AC-2019-29,22154,0,0,0,0,27
AC-2019-30,22990,0,1,0,0,31
AC-2019-31,23752,0,0,0,0,22
AC-2019-32,24546,0,1,0,1,28
AC-2019-33,25294,0,1,0,1,36
AC-2019-34,26215,0,1,0,1,38
AC-2019-35,27148,0,1,0,1,37
AC-2019-36,27964,0,0,0,2,50
AC-2019-37,28775,0,0,0,0,32
AC-2019-38,29587,0,0,0,1,26
AC-2019-39,30349,0,0,0,0,23
AC-2019-40,31122,0,0,0,1,26
AC-2019-41,31933,0,0,0,1,29
AC-2019-42,32746,0,0,0,0,31
AC-2019-43,33683,0,0,0,1,32
AC-2019-44,34623,0,0,0,1,31
AC-2019-45,35474,0,0,0,1,33
AC-2019-46,36409,0,0,0,1,42
AC-2019-47,37244,0,1,0,1,38
AC-2019-48,38117,0,0,0,1,46
AC-2019-49,38986,0,0,0,0,36
