Name, Number of EQC, Average Size of EQC, Average Number of Edges, TMH, Comp
SchemEx-2013-0,12701.0,142.51233,7.4849224,47539.164,1.0
SchemEx-2013-1,12422.0,103.90863,7.3848815,45874.332,1.0
SchemEx-2013-2,10302.0,146.77014,7.4324403,38289.438,1.0
SchemEx-2013-3,12287.0,113.7709,7.3900056,45405.633,1.0
null,0.0,NaN,NaN,0.0,0.0
null,0.0,NaN,NaN,0.0,0.0
SchemEx-2013-6,10516.0,177.83891,7.4646254,39254.547,1.0
SchemEx-2013-7,12313.0,123.580765,7.189637,44267.11,1.0
SchemEx-2013-8,16019.0,78.54542,7.4658217,59803.65,1.0
SchemEx-2013-9,12331.0,121.48066,7.407185,45674.78,1.0
SchemEx-2013-10,12731.0,121.873535,7.47726,47601.984,1.0
SchemEx-2013-11,9287.0,223.98729,7.6240983,35408.574,1.0
SchemEx-2013-12,13222.0,99.85842,7.4354863,49162.152,1.0
SchemEx-2013-13,12447.0,133.65944,7.5241423,46832.383,1.0
SchemEx-2013-14,12108.0,139.02594,7.249587,43893.934,1.0
SchemEx-2013-15,11934.0,155.1128,7.584967,45266.203,1.0
SchemEx-2013-16,11605.0,123.66118,7.662387,44466.41,1.0
SchemEx-2013-17,12022.0,136.1726,7.5065713,45128.105,1.0
SchemEx-2013-18,10968.0,158.90108,7.2545586,39789.754,1.0
SchemEx-2013-19,11162.0,154.53978,7.238398,40402.89,1.0
SchemEx-2013-20,8862.0,243.66136,7.734033,34274.63,7.0
SchemEx-2013-21,5707.0,60.93622,13.522341,38591.945,1.0
SchemEx-2013-22,11704.0,154.84937,4.000342,23418.63,20.0
SchemEx-2013-23,5742.0,61.99495,8.400209,24125.121,1.0
SchemEx-2013-24,7223.0,42.107433,8.933961,32272.414,1.0
SchemEx-2013-25,5924.0,125.83744,8.090311,23972.053,1.0
SchemEx-2013-26,9926.0,221.3784,11.425347,56714.75,1.0
SchemEx-2013-27,5458.0,124.415535,7.094174,19367.525,1.0
SchemEx-2013-28,10313.0,212.16368,9.651702,49777.555,1.0
SchemEx-2013-29,10203.0,200.26492,9.2999115,47453.21,1.0
SchemEx-2013-30,10285.0,183.83441,5.7115216,29379.32,27.0
SchemEx-2013-31,10417.0,198.13766,9.659883,50322.15,1.0
SchemEx-2013-32,9175.0,245.62256,9.4352045,43293.18,1.0
SchemEx-2013-33,8339.0,252.48903,10.130471,42249.047,1.0
SchemEx-2013-34,9962.0,213.89941,9.28679,46265.664,1.0
SchemEx-2013-35,10908.0,229.40952,8.626604,47056.984,7.0
SchemEx-2013-36,11237.0,178.85913,9.131797,51314.258,1.0
SchemEx-2013-37,10874.0,188.7035,9.109528,49535.97,1.0
SchemEx-2013-38,10388.0,200.76877,9.182614,47703.203,1.0
SchemEx-2013-39,10105.0,206.55566,9.053736,45752.652,1.0
null,0.0,NaN,NaN,0.0,0.0
SchemEx-2013-41,8314.0,283.8998,9.716984,40403.844,1.0
null,0.0,NaN,NaN,0.0,0.0
SchemEx-2013-43,9837.0,238.37003,9.328352,45890.996,1.0
SchemEx-2013-44,9719.0,232.1455,9.215248,44790.52,1.0
SchemEx-2013-45,7432.0,344.1889,9.899757,36797.28,1.0
SchemEx-2013-46,9873.0,253.10057,10.911071,53872.562,14.0
SchemEx-2013-47,10123.0,215.51991,9.24558,46804.777,1.0
SchemEx-2013-48,10096.0,219.26138,5.021989,25359.695,47.0
SchemEx-2013-49,12647.0,152.31786,8.781688,55539.76,4.0
SchemEx-2013-50,12681.0,152.16553,9.486476,60158.555,1.0
null,0.0,NaN,NaN,0.0,0.0
null,0.0,NaN,NaN,0.0,0.0
