Name, Number of EQC, Average Size of EQC, Average Number of Edges, TMH, Comp, Avg Degree
SchemEx-2015-0,306325.0,30.886532,10.41375,629958.3,0,0
SchemEx-2015-1,304088.0,29.60053,10.409342,622631.5,0,0
SchemEx-2015-2,292688.0,31.494041,10.350684,586749.9,0,0
SchemEx-2015-3,300920.0,30.726496,10.204253,593011.44,0,0
SchemEx-2015-4,304946.0,33.844185,10.167706,596951.8,0,0
SchemEx-2015-5,304178.0,30.683863,10.276755,610139.7,0,0
SchemEx-2015-6,12862.0,131.82335,0.0,0.0,0,0
SchemEx-2015-7,14580.0,58.88491,0.0,0.0,0,0
SchemEx-2015-8,16702.0,75.33062,0.0,0.0,0,0
SchemEx-2015-9,17200.0,70.37447,0.0,0.0,0,0
SchemEx-2015-10,13369.0,90.8605,0.0,0.0,0,0
SchemEx-2015-11,16781.0,61.29611,0.0,0.0,0,0
SchemEx-2015-12,16964.0,75.03466,0.0,0.0,0,0
SchemEx-2015-13,14881.0,95.68772,0.0,0.0,0,0
SchemEx-2015-14,15219.0,76.12458,0.0,0.0,0,0
SchemEx-2015-15,15102.0,115.80208,0.0,0.0,0,0
SchemEx-2015-16,14549.0,56.66905,0.0,0.0,0,0
SchemEx-2015-17,17251.0,72.670166,0.0,0.0,0,0
SchemEx-2015-18,16660.0,77.36207,0.0,0.0,0,0
SchemEx-2015-19,17625.0,66.93878,0.0,0.0,0,0
SchemEx-2015-20,16833.0,79.07937,0.0,0.0,0,0
SchemEx-2015-21,16230.0,83.86537,0.0,0.0,0,0
SchemEx-2015-22,17405.0,70.00667,0.0,0.0,0,0
SchemEx-2015-23,15758.0,93.987946,0.0,0.0,0,0
SchemEx-2015-24,15905.0,97.92449,0.0,0.0,0,0
SchemEx-2015-25,17194.0,81.71368,0.0,0.0,0,0
SchemEx-2015-26,18453.0,67.30765,0.0,0.0,0,0
SchemEx-2015-27,11807.0,140.72644,0.0,0.0,0,0
SchemEx-2015-28,17003.0,80.10457,0.0,0.0,0,0
SchemEx-2015-29,15107.0,88.43861,0.0,0.0,0,0
SchemEx-2015-30,16219.0,81.91492,0.0,0.0,0,0
SchemEx-2015-31,16748.0,85.59619,0.0,0.0,0,0
SchemEx-2015-32,16166.0,102.39286,0.0,0.0,0,0
SchemEx-2015-33,15953.0,81.79584,0.0,0.0,0,0
SchemEx-2015-34,14741.0,111.0384,0.0,0.0,0,0
SchemEx-2015-35,15688.0,87.57477,0.0,0.0,0,0
SchemEx-2015-36,16017.0,88.101395,0.0,0.0,0,0
SchemEx-2015-37,15659.0,97.78102,0.0,0.0,0,0
SchemEx-2015-38,16202.0,85.46099,0.0,0.0,0,0
SchemEx-2015-39,15847.0,91.48583,0.0,0.0,0,0
SchemEx-2015-40,15192.0,105.249344,0.0,0.0,0,0
SchemEx-2015-41,15317.0,105.224846,0.0,0.0,0,0
SchemEx-2015-42,13058.0,64.30311,0.0,0.0,0,0
SchemEx-2015-43,16076.0,83.829,0.0,0.0,0,0
SchemEx-2015-44,15926.0,88.83492,0.0,0.0,0,0
SchemEx-2015-45,15946.0,93.887115,0.0,0.0,0,0
SchemEx-2015-46,15534.0,91.89333,0.0,0.0,0,0
SchemEx-2015-47,14503.0,80.57354,0.0,0.0,0,0
SchemEx-2015-48,15544.0,106.86966,0.0,0.0,0,0
SchemEx-2015-49,15759.0,99.99296,0.0,0.0,0,0
SchemEx-2015-50,15487.0,97.576546,0.0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
SchemEx-2015-0,306325.0,30.886532,10.41375,629958.3,0,0
SchemEx-2015-1,304088.0,29.60053,10.409342,622631.5,0,0
SchemEx-2015-2,292688.0,31.494041,10.350684,586749.9,0,0
SchemEx-2015-3,300920.0,30.726496,10.204253,593011.44,0,0
SchemEx-2015-4,304946.0,33.844185,10.167706,596951.8,0,0
SchemEx-2015-5,304178.0,30.683863,10.276755,610139.7,0,0
SchemEx-2015-6,12862.0,131.82335,0.0,0.0,0,0
SchemEx-2015-7,14580.0,58.88491,0.0,0.0,0,0
SchemEx-2015-8,16702.0,75.33062,0.0,0.0,0,0
SchemEx-2015-9,17200.0,70.37447,0.0,0.0,0,0
SchemEx-2015-10,13369.0,90.8605,0.0,0.0,0,0
SchemEx-2015-11,16781.0,61.29611,0.0,0.0,0,0
SchemEx-2015-12,16964.0,75.03466,0.0,0.0,0,0
SchemEx-2015-13,14881.0,95.68772,0.0,0.0,0,0
SchemEx-2015-14,15219.0,76.12458,0.0,0.0,0,0
SchemEx-2015-15,15102.0,115.80208,0.0,0.0,0,0
SchemEx-2015-16,14549.0,56.66905,0.0,0.0,0,0
SchemEx-2015-17,17251.0,72.670166,0.0,0.0,0,0
SchemEx-2015-18,16660.0,77.36207,0.0,0.0,0,0
SchemEx-2015-19,17625.0,66.93878,0.0,0.0,0,0
SchemEx-2015-20,16833.0,79.07937,0.0,0.0,0,0
SchemEx-2015-21,16230.0,83.86537,0.0,0.0,0,0
SchemEx-2015-22,17405.0,70.00667,0.0,0.0,0,0
SchemEx-2015-23,15758.0,93.987946,0.0,0.0,0,0
SchemEx-2015-24,15905.0,97.92449,0.0,0.0,0,0
SchemEx-2015-25,17194.0,81.71368,0.0,0.0,0,0
SchemEx-2015-26,18453.0,67.30765,0.0,0.0,0,0
SchemEx-2015-27,11807.0,140.72644,0.0,0.0,0,0
SchemEx-2015-28,17003.0,80.10457,0.0,0.0,0,0
SchemEx-2015-29,15107.0,88.43861,0.0,0.0,0,0
SchemEx-2015-30,16219.0,81.91492,0.0,0.0,0,0
SchemEx-2015-31,16748.0,85.59619,0.0,0.0,0,0
SchemEx-2015-32,16166.0,102.39286,0.0,0.0,0,0
SchemEx-2015-33,15953.0,81.79584,0.0,0.0,0,0
SchemEx-2015-34,14741.0,111.0384,0.0,0.0,0,0
SchemEx-2015-35,15688.0,87.57477,0.0,0.0,0,0
SchemEx-2015-36,16017.0,88.101395,0.0,0.0,0,0
SchemEx-2015-37,15659.0,97.78102,0.0,0.0,0,0
SchemEx-2015-38,16202.0,85.46099,0.0,0.0,0,0
SchemEx-2015-39,15847.0,91.48583,0.0,0.0,0,0
SchemEx-2015-40,15192.0,105.249344,0.0,0.0,0,0
SchemEx-2015-41,15317.0,105.224846,0.0,0.0,0,0
SchemEx-2015-42,13058.0,64.30311,0.0,0.0,0,0
SchemEx-2015-43,16076.0,83.829,0.0,0.0,0,0
SchemEx-2015-44,15926.0,88.83492,0.0,0.0,0,0
SchemEx-2015-45,15946.0,93.887115,0.0,0.0,0,0
SchemEx-2015-46,15534.0,91.89333,0.0,0.0,0,0
SchemEx-2015-47,14503.0,80.57354,0.0,0.0,0,0
SchemEx-2015-48,15544.0,106.86966,0.0,0.0,0,0
SchemEx-2015-49,15759.0,99.99296,0.0,0.0,0,0
SchemEx-2015-50,15487.0,97.576546,0.0,0.0,0,0
