Name, Name 2nd, JaccardVertex, JaccardEdge, GED, KLD
AC-2019-0,AC-2019-1,NaN,null,0.0,1.2295228
AC-2019-1,AC-2019-2,NaN,null,0.0,0.34818098
AC-2019-2,AC-2019-3,1.0,null,202893.0,0.7001361
AC-2019-3,AC-2019-4,0.94610345,0.8350726,386662.0,0.72907245
AC-2019-4,AC-2019-5,0.9443688,0.844295,337144.0,2.679085
AC-2019-5,AC-2019-6,0.9442192,0.8426049,304235.0,0.83399
AC-2019-6,AC-2019-7,0.9498207,0.84130806,322568.0,2.0374653
AC-2019-7,AC-2019-8,0.94510317,0.84302014,326868.0,2.1912544
AC-2019-8,AC-2019-9,0.941874,0.8395059,298174.0,0.73673797
AC-2019-1-1,AC-2019-10,0.94695085,0.8424781,297989.0,0.70335674
AC-2019-10,AC-2019-11,0.9454464,0.8300521,310910.0,0.5352547
AC-2019-11,AC-2019-12,0.9454668,0.83062893,313400.0,0.71013105
AC-2019-12,AC-2019-13,0.94744784,0.8422672,314762.0,0.95234835
AC-2019-13,AC-2019-14,0.9447107,0.83576596,307101.0,0.898864
AC-2019-14,AC-2019-15,0.9473166,0.8448945,299486.0,1.0774993
AC-2019-15,AC-2019-16,0.94445735,0.8440718,294996.0,0.9091798
AC-2019-16,AC-2019-17,0.9454932,0.83655655,296106.0,1.0894139
AC-2019-17,AC-2019-18,0.94254816,0.83719814,291875.0,0.41400516
AC-2019-18,AC-2019-19,0.9517831,0.8420973,320904.0,2.0461943
AC-2019-2-1,AC-2019-20,0.94714624,0.8356184,358974.0,0.43106222
AC-2019-20,AC-2019-21,0.9487735,0.8487848,363837.0,1.5043914
AC-2019-21,AC-2019-22,0.94379526,0.84151006,355111.0,0.73351306
AC-2019-22,AC-2019-23,0.9446505,0.83820844,331014.0,3.0530543
AC-2019-23,AC-2019-24,0.9540914,0.8443597,368419.0,2.6068878
AC-2019-24,AC-2019-25,0.94655234,0.85820234,376133.0,2.7814865
AC-2019-25,AC-2019-26,0.95046157,0.84413826,357130.0,1.4989268
AC-2019-26,AC-2019-27,0.9480962,0.84978366,359320.0,0.8621988
AC-2019-27,AC-2019-28,0.95009136,0.8350915,352695.0,0.80311024
AC-2019-28,AC-2019-29,0.9471494,0.82593626,361158.0,0.36677188
AC-2019-3-1,AC-2019-30,0.94596386,0.8261026,352990.0,0.38592014
AC-2019-30,AC-2019-31,0.94359344,0.8339467,341127.0,0.35905784
AC-2019-31,AC-2019-32,0.9432507,0.8255871,339100.0,0.6482819
AC-2019-32,AC-2019-33,0.941132,0.8219825,341475.0,0.44468272
AC-2019-33,AC-2019-34,0.943089,0.8249234,344117.0,0.30182776
AC-2019-34,AC-2019-35,0.9462185,0.8310099,356921.0,0.4576165
AC-2019-35,AC-2019-36,0.94520694,0.83042395,363222.0,0.31302
AC-2019-36,AC-2019-37,0.94247794,0.826453,348360.0,1.1373878
AC-2019-37,AC-2019-38,0.94509923,0.8172421,348350.0,0.35072678
AC-2019-38,AC-2019-39,0.94143474,0.8176694,349925.0,0.4075367
AC-2019-4-1,AC-2019-40,0.94313544,0.821134,339337.0,0.43119162
AC-2019-40,AC-2019-41,0.9441609,0.825976,345388.0,0.9464768
AC-2019-41,AC-2019-42,0.9421404,0.81109494,350322.0,0.2845967
AC-2019-42,AC-2019-43,0.942249,0.8232216,352317.0,0.35745424
AC-2019-43,AC-2019-44,0.9459467,0.8093498,378679.0,0.6798424
AC-2019-44,AC-2019-45,0.9430975,0.8260649,384581.0,1.3221772
AC-2019-45,AC-2019-46,0.9481977,0.8293194,377468.0,1.6068727
AC-2019-46,AC-2019-47,0.9446834,0.8308235,381203.0,1.076178
AC-2019-47,AC-2019-48,0.9491664,0.84174407,383975.0,1.0717521
