Name, Graph Creation, Number of EQC, Average Size of EQC, Average Number of Edges, TMH, Comp
AC-2019-0,45,0,3,0,0,9
AC-2019-1,54,0,1,0,0,0
AC-2019-2,60,0,1,0,0,0
AC-2019-3,1159,0,1,0,3,75
AC-2019-4,2073,0,1,1,2,47
AC-2019-5,2841,0,1,0,1,35
AC-2019-6,3584,0,2,0,1,34
AC-2019-7,4405,0,1,0,1,41
AC-2019-8,5142,0,1,0,1,38
AC-2019-9,5846,0,1,0,1,25
AC-2019-10,6603,0,1,0,1,27
AC-2019-11,7407,0,1,0,0,27
AC-2019-12,8194,0,1,0,0,29
AC-2019-13,8953,0,1,0,0,28
AC-2019-14,9678,0,1,0,0,26
AC-2019-15,10628,0,1,0,0,28
AC-2019-16,11335,0,1,0,1,29
AC-2019-17,12048,0,0,0,0,23
AC-2019-18,12743,0,0,0,0,21
AC-2019-19,13586,0,0,0,0,33
AC-2019-20,14417,0,0,0,1,41
AC-2019-21,15263,0,0,0,1,33
AC-2019-22,16032,0,0,0,0,33
AC-2019-23,16768,0,1,0,1,30
AC-2019-24,17765,0,0,0,1,45
AC-2019-25,18605,0,0,0,0,43
AC-2019-26,19491,0,0,0,0,47
AC-2019-27,20303,0,0,0,0,27
AC-2019-28,21171,0,1,0,0,29
AC-2019-29,22024,0,0,0,0,36
AC-2019-30,22882,0,0,0,1,28
AC-2019-31,23657,0,0,0,0,24
AC-2019-32,24519,0,0,0,0,30
AC-2019-33,25319,1,0,0,1,25
AC-2019-34,26133,0,0,0,0,29
AC-2019-35,26971,0,0,0,0,79
AC-2019-36,27820,0,1,0,1,34
AC-2019-37,28578,0,0,0,1,41
AC-2019-38,29483,0,0,0,1,42
AC-2019-39,30279,0,0,0,1,43
AC-2019-40,31052,0,0,0,0,51
AC-2019-41,31885,0,1,0,1,27
AC-2019-42,32691,0,0,0,0,34
AC-2019-43,33515,0,1,0,0,46
AC-2019-44,34486,0,0,0,1,56
AC-2019-45,35353,0,0,0,0,47
AC-2019-46,36287,0,0,0,1,63
AC-2019-47,37211,0,0,0,0,36
AC-2019-48,38141,0,1,0,1,43
AC-2019-49,39090,0,0,0,1,46
